Name,Pre 2015,In 2023,Category,District,State,Year Start,Year Start Revise,Listener Base,PinCode,Broadcast Frequency,Language,,latitude,longitude,,
Radio Palanpur,,,NGO,Banaskantha,Gujrat,2019,,170000,385001,90.4,"Gujarati, Hindi",,24.176119,72.449485,,
Radio Sabarmati,,,NGO,Ahmedabad,Gujrat,2022,,,380009,89.6,"Gujarati, Hindi, English",,23.03277,72.56998,,
Junagadh Janvani,,,KVK,Junagadh,Gujrat,2015,,400000,362001,91.2,Gujarati,,21.52382,70.43683,,
Radio Awaj Dahod,,,NGO,Dahod,Gujrat,2018,,300000,389151,90.8,"Gujarati, Hindi",,22.81973,74.26403,,
Hello BAOU,,,EDU,Ahmedabad,Gujrat,2021,,45000,382481,90,"Gujarati, Hindi, English",,23.08496,72.54804,,
Micavaani,Yes,No,,Ahmedabad,Gujrat,2005,,,380058,90.4,"Gujarati, Hindi, English",,23.0266,72.4808,,
Guruvani Community Radio Compendium,Yes,,EDU,Ahmedabad,Gujrat,2012,,60000,380009,90.8,"Gujarati, Hindi, English",,23.03277,72.56998,,
Saire Jo Radio,Yes,No,,Kutch,Gujrat,2012,,,370615,90.4,Kutchi,,23.37074,69.26154,,
Radio Aravali,,,NGO,Mahendragarh,Haryana,2018,,,123001,90.4,Haryanvi,,28.12987,76.14938,,
Krishi Vigyan Kendra Community Radio Station,,,EDU,Panipat,Haryana,,,,132103,90.4,Hindi,,29.42952,76.99058,,
Apna Radio,,,NGO,Charkhi Dadri,Haryana,2018,,70000,127306,91.2,"Hindi, Haryanvi",,28.60186,76.23751,,
OSGU Radio,,,NGO,Hisar,Haryana,2022,,22000,125001,90,Hindi,,29.16748,75.72357,,
Radio Manav Rachna,Yes,,NGO,Faridabad,Haryana,2011,2009,200000,121001,107.8,"Hindi, English, Haryanvi, Punjabi",,28.39341,77.30649,,
Gurgaon Ki Awaaz Samudayik Radio,Yes,,NGO,Gurgaon,Haryana,2009,,500000,122016,107.8,"Hindi, Haryanvi, Bhojpuri, Garhwali, Kumaoni, Maithili, Bundeli, Rajasthani",,28.51304,77.08107,,
